scenario_id,wind_scenario,pv_scenario,Q_day,H_on,total_cost,incremental_total_cost,unit_cost,incremental_unit_cost,E_load,E_re,E_buy,E_sell,E_curtail,E_self,R_self,R_green,R_sell,class,pass_self,pass_green,pass_green_2030,pass_sell,on_hours
W4P1,4,1,36,12,52621.90553287673,13951.908532876732,1461.7195981354646,387.55301480213143,558.72,876.924,188.9542,507.15819999999997,0.0,369.7658,0.4216623105309012,0.66180877720504,0.5783376894690988,部分满足,False,True,True,False,0 1 2 3 4 5 6 13 14 15 16 23
W4P2,4,2,72,24,445192.66853287676,406522.6715328768,6183.231507401066,5646.1482157344,1056.7199999999998,618.364,448.09619999999995,9.740200000000009,0.0,608.6238000000001,0.9842484361961564,0.5759555984555986,0.015751563803843703,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W4P2,4,2,63,21,343088.7224328767,304418.72543287673,5445.852737029789,4832.043260839313,932.22,618.364,353.75840000000005,39.902400000000014,0.0,578.4616,0.9354710170708513,0.6205204779987556,0.06452898292914855,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W4P2,4,2,54,18,258908.0246328767,220238.0276328767,4794.593048756976,4078.4819932014207,807.72,618.364,267.27200000000005,77.91600000000001,0.0,540.448,0.8739965457238777,0.6691031545585103,0.12600345427612217,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 23
W4P2,4,2,45,15,186395.8976328767,147725.9006328767,4142.131058508371,3282.7977918417046,683.2199999999999,618.364,227.14600000000002,162.29000000000002,0.0,456.074,0.7375494045578332,0.6675360791545916,0.26245059544216676,部分满足,True,True,True,False,0 1 2 3 4 5 6 8 9 12 13 14 15 16 23
W4P2,4,2,36,12,118804.68953287671,80134.69253287671,3300.130264802131,2225.9636814687974,558.72,618.364,203.0342,262.6782,0.0,355.68580000000003,0.5752045720643505,0.6366083190148912,0.42479542793564956,部分满足,False,True,True,False,0 1 2 3 4 5 6 12 13 14 15 23
W4P3,4,3,72,24,542570.0386328767,503900.04163287673,7535.694981012177,6998.61168934551,1056.7199999999998,452.60400000000004,604.116,0.0,0.0,452.60400000000004,1.0,0.42831024301612547,0.0,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W4P3,4,3,63,21,439038.83863287664,400368.84163287666,6968.870454490106,6355.06097829963,932.22,452.60400000000004,506.416,26.80000000000001,0.0,425.80400000000003,0.9407870898180307,0.45676342494261013,0.059212910181969246,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 21 22 23
W4P3,4,3,54,18,345471.5947328767,306801.5977328767,6397.622124682902,5681.511069127347,807.72,452.60400000000004,414.7718,59.6558,0.0,392.94820000000004,0.8681942713718837,0.4864906155598475,0.1318057286281164,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 22 23
W4P3,4,3,45,15,258378.9895328767,219708.9925328767,5741.755322952816,4882.422056286149,683.22,452.60400000000004,338.84219999999993,108.2262,0.0,344.37780000000004,0.760881035077021,0.5040511109159568,0.23911896492297902,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 14 15 16 17 23
