mode,scenario_id,Q_day,M_self,M_green,M_green_2030,M_sell,min_policy_margin,violation_score
discrete,W6P1,63,0.22815412987593608,0.3358580592563987,0.28585805925639873,0.028154129875936046,0.028154129875936046,0.0
discrete,W6P1,54,0.1688185984128755,0.3812875749021936,0.3312875749021936,-0.031181401587124513,-0.031181401587124513,0.031181401587124513
discrete,W6P1,45,0.014778417346596684,0.34405872193436954,0.29405872193436955,-0.18522158265340338,-0.18522158265340338,0.18522158265340338
discrete,W6P1,36,-0.1591625684587013,0.2647440578465062,0.2147440578465062,-0.35916256845870137,-0.35916256845870137,0.5183251369174027
discrete,W6P2,72,0.4,0.13265955030660925,0.08265955030660926,0.2,0.13265955030660925,0.0
discrete,W6P2,63,0.34782545931758535,0.16485357533629408,0.11485357533629409,0.1478254593175853,0.1478254593175853,0.0
discrete,W6P2,54,0.2974063867016623,0.20796587926509197,0.15796587926509198,0.09740638670166231,0.09740638670166231,0.0
discrete,W6P2,45,0.16991251093613302,0.21521325488129744,0.16521325488129746,-0.030087489063867073,-0.030087489063867073,0.030087489063867073
discrete,W6P2,36,0.0030402449693787137,0.19346721076746842,0.14346721076746843,-0.19695975503062124,-0.19695975503062124,0.19695975503062124
discrete,W6P3,72,0.4,-0.024203194791430016,-0.07420319479143,0.2,-0.024203194791430016,0.024203194791430016
discrete,W6P3,63,0.3247385396651111,-0.010898929437257343,-0.06089892943725733,0.12473853966511114,-0.010898929437257343,0.010898929437257343
discrete,W6P3,54,0.19914905297831453,-0.011652552864854171,-0.06165255286485416,-0.0008509470216855053,-0.011652552864854171,0.012503499886539676
discrete,W6P3,45,0.05972275597035415,-0.01858317964930767,-0.06858317964930766,-0.14027724402964586,-0.14027724402964586,0.15886042367895353
discrete,W6P3,36,-0.01798723579467465,0.003589991408934734,-0.046410008591065255,-0.21798723579467466,-0.21798723579467466,0.2359744715893493
discrete,W6P4,72,0.4,-0.08537360890302059,-0.13537360890302058,0.2,-0.08537360890302059,0.08537360890302059
discrete,W6P4,63,0.35444532627865966,-0.067792795692004,-0.11779279569200399,0.15444532627865962,-0.067792795692004,0.067792795692004
discrete,W6P4,54,0.25477954144620807,-0.059986133808745595,-0.10998613380874558,0.05477954144620811,-0.059986133808745595,0.059986133808745595
discrete,W6P4,45,0.1582433862433863,-0.048295424607007975,-0.09829542460700796,-0.041756613756613714,-0.048295424607007975,0.09005203836362169
discrete,W6P4,36,0.10973368606701939,-0.01189934135166093,-0.06189934135166092,-0.09026631393298062,-0.09026631393298062,0.10216565528464155
continuous,W1P1,72,0.2223544299809389,0.2928155045802104,0.2428155045802104,0.02235442998093895,0.02235442998093895,0.0
continuous,W1P1,63,0.21987072111572614,0.36995773529853454,0.31995773529853455,0.019870721115726103,0.019870721115726103,0.0
continuous,W1P1,54,0.15418344789199823,0.4112734611003814,0.3612734611003814,-0.04581655210800187,-0.04581655210800187,0.04581655210800187
continuous,W1P1,45,-0.009252996991193863,0.3586601680278681,0.3086601680278681,-0.20925299699119382,-0.20925299699119382,0.21850599398238768
continuous,W1P1,36,-0.17268944187438617,0.282599155211913,0.232599155211913,-0.3726894418743862,-0.3726894418743862,0.5453788837487723
continuous,W1P2,72,0.38519447381181393,0.1691439548792491,0.11914395487924911,0.1851944738118139,0.1691439548792491,0.0
continuous,W1P2,63,0.38519447381181393,0.23179914612430547,0.18179914612430548,0.1851944738118139,0.1851944738118139,0.0
continuous,W1P2,54,0.3814345672927879,0.3114269796464119,0.26142697964641193,0.18143456729278787,0.18143456729278787,0.0
continuous,W1P2,45,0.26630829643643505,0.3380518720177979,0.2880518720177979,0.0663082964364351,0.0663082964364351,0.0
continuous,W1P2,36,0.01889372898466657,0.25739869702176427,0.20739869702176428,-0.1811062710153334,-0.1811062710153334,0.1811062710153334
continuous,W1P3,72,0.4,0.019331516390339976,-0.030668483609660013,0.2,0.019331516390339976,0.0
continuous,W1P3,63,0.4,0.06197893201175686,0.011978932011756871,0.2,0.06197893201175686,0.0
continuous,W1P3,54,0.39439314375125956,0.11543108998167673,0.06543108998167674,0.19439314375125955,0.11543108998167673,0.0
continuous,W1P3,45,0.39439314375125956,0.1911331635490764,0.1411331635490764,0.19439314375125955,0.1911331635490764,0.0
continuous,W1P3,36,0.32290809734355974,0.25739869702176427,0.20739869702176428,0.12290809734355969,0.12290809734355969,0.0
continuous,W1P4,72,0.4,-0.0418388977212506,-0.09183889772125059,0.2,-0.0418388977212506,0.0418388977212506
continuous,W1P4,63,0.4,-0.007360923387183305,-0.057360923387183294,0.2,-0.007360923387183305,0.007360923387183305
continuous,W1P4,54,0.4,0.037745753478928334,-0.012254246521071654,0.2,0.037745753478928334,0.0
continuous,W1P4,45,0.3930646178208531,0.09652235004830068,0.04652235004830069,0.19306461782085313,0.09652235004830068,0.0
continuous,W1P4,36,0.3930646178208531,0.1848797250859106,0.13487972508591062,0.19306461782085313,0.1848797250859106,0.0
continuous,W2P1,72,0.26399839733861086,0.2387349534408359,0.1887349534408359,0.06399839733861082,0.06399839733861082,0.0
continuous,W2P1,63,0.2632881269502083,0.3101821458454013,0.26018214584540134,0.06328812695020825,0.06328812695020825,0.0
continuous,W2P1,54,0.22631703556208538,0.37407467934432753,0.32407467934432754,0.026317035562085284,0.026317035562085284,0.0
continuous,W2P1,45,0.037366900185763496,0.31468282544422027,0.2646828254442203,-0.16263309981423657,-0.16263309981423657,0.16263309981423657
continuous,W2P1,36,-0.1515832351905586,0.22882230813287546,0.17882230813287547,-0.3515832351905586,-0.3515832351905586,0.5031664703811172
continuous,W2P2,72,0.4,0.07885532591414957,0.028855325914149577,0.2,0.07885532591414957,0.0
continuous,W2P2,63,0.4,0.12945227521400532,0.07945227521400533,0.2,0.12945227521400532,0.0
continuous,W2P2,54,0.3988310053354115,0.19506759768236537,0.14506759768236538,0.1988310053354116,0.19506759768236537,0.0
continuous,W2P2,45,0.3988310053354115,0.2852814613155353,0.2352814613155353,0.1988310053354116,0.1988310053354116,0.0
continuous,W2P2,36,0.10285454509122194,0.20362184994272653,0.15362184994272654,-0.09714545490877807,-0.09714545490877807,0.09714545490877807
continuous,W2P3,72,0.4,-0.0780074191838897,-0.1280074191838897,0.2,-0.0780074191838897,0.0780074191838897
continuous,W2P3,63,0.4,-0.04835982922486104,-0.09835982922486103,0.2,-0.04835982922486104,0.04835982922486104
continuous,W2P3,54,0.4,-0.0095726241766948,-0.05957262417669479,0.2,-0.0095726241766948,0.0095726241766948
continuous,W2P3,45,0.3980049790267026,0.04266561283334808,-0.007334387166651912,0.19800497902670264,0.04266561283334808,0.0
continuous,W2P3,36,0.3980049790267026,0.11902205040091629,0.0690220504009163,0.19800497902670264,0.11902205040091629,0.0
continuous,W2P4,72,0.4,-0.1391778332954803,-0.1891778332954803,0.2,-0.1391778332954803,0.1391778332954803
continuous,W2P4,63,0.4,-0.11769968462380123,-0.16769968462380122,0.2,-0.11769968462380123,0.11769968462380123
